References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell,LCSC,JLC Assembly
"C3, C13, C14, C15, C16, C20, C21, C27, C29, C30, C31, C32, C40",13,10u C_0805_2012Metric,KYOCERA AVX,08053D106KAT4A,,08053D106KAT4A,478-08053D106KAT4ACT-ND,58108053D106KAT4A,,,3922206,,
"C2, C10, C11, C22, C23, C24, C25, C26, C33, C34",10,100n C_0402_1005Metric,AVX,04025C104KAT4A,,04025C104KAT4A,478-04025C104KAT4ACT-ND,58104025C104KAT4A,,,,,
"C4, C5, C6, C7, C8, C9",6,10u 10v C_0805_2012Metric,Yageo,CC0805KKX5R6BB106,,CC0805KKX5R6BB106,311-1460-1-ND,603CC805KKX5R6BB106,1988064,,9402136,,
"C35, C36, C37",3,100n 6.3 C_0402_1005Metric,KYOCERA AVX,04026D104KAT4A,,04026D104KAT4A,478-11504-1-ND,58104026D104KAT4A,,,,,
"C18, C19",2,27pF C_0402_1005Metric,,GCM1555C1H270FA16D,,,,81GCM1555C1H270FA6D,,,,,
"C38, C39",2,47u 6.3 C_0805_2012Metric,KYOCERA AVX,08056D476MAT2A,,08056D476MAT2A,478-08056D476MAT2ACT-ND,58108056D476MAT2A,,,,,
C1,1,100n 50v C_0402_1005Metric,AVX,04025C104KAT4A,,04025C104KAT4A,478-04025C104KAT4ACT-ND,58104025C104KAT4A,,,,,
C12,1,1.2nF C_0402_1005Metric,KEMET,C0402C122J5GACTU,,C0402C122J5GACTU,399-C0402C122J5GAC7867CT-ND,80C0402C122J5G,,,1800803,,
C17,1,100uF CP_EIA-7343-31_Kemet-D,,293D107X06R3D2TE3,,,,74293D107X06R3D2TE3,,,,,
C28,1,100uF CP_EIA-7132-20_AVX-U,,,,,,74293D107X06R3D2TE3,,,,,
"R5, R6, R7, R8, R28, R29",6,nf R_0402_1005Metric,,,,,,,,,,,
"R1, R4, R17, R32",4,12K 1% R_0402_1005Metric,Vishay,PTN0402E1202BST1,,PTN0402E1202BST1,,71PTN0402E1202BST1,,,,,
"R14, R15, R16, R18",4,36K 1% R_0402_1005Metric,Yageo,RT0402FRE0736KL,,RT0402FRE0736KL,13-RT0402FRE0736KLCT-ND,603RT0402FRE0736KL,,,,,
"R10, R19",2,15K 1% R_0402_1005Metric,Yageo,RT0402FRE0715KL,,RT0402FRE0715KL,YAG5930DKR-ND,603RT0402FRE0715KL,,,,,
"R12, R13",2,2.2K 1% R_0402_1005Metric,Yageo,RT0402FRE072K2L,,RT0402FRE072K2L,13-RT0402FRE072K2LDKR-ND,603RT0402FRE072K2L,,,3496566,,
"R20, R23",2,1k R_0402_1005Metric,Bourns,CRT0402-BY-1001GLF,,CRT0402-BY-1001GLF,118-CRT0402-BY-1001GLFCT-ND,652CRT0402BY1001GLF,,,,,
"R21, R22",2,220 R_0402_1005Metric,Panasonic,ERA-2VEB2200X,,ERA-2VEB2200X,10-ERA-2VEB2200XDKR-ND,667ERA2VEB2200X,2413248,,3482112,,
"R24, R25",2,100 R_0402_1005Metric,Vishay,MCS04020D1000BE000,,MCS04020D1000BE000,749-MCS04020D1000BE000CT-ND,594MCS04020D1000BE0,,,,,
"R26, R27",2,1K8 R_0402_1005Metric,TE Connectivity,CPF0402B1K8E1,,CPF0402B1K8E1,A102697CT-ND,279CPF0402B1K8E1,,,1697323,,
R3,1,10R R_0402_1005Metric,TE Connectivity,CPF0402B10RE1,,CPF0402B10RE1,A102583DKR-ND,279CPF0402B10RE1,1226344,,1697292,,
R9,1,47K 1% R_0402_1005Metric,Yageo,AT0402FRE0747KL,,AT0402FRE0747KL,,603AT0402FRE0747KL,,,,,
R11,1,12K R_0402_1005Metric,Yageo,AT0402FRE0712KL,,AT0402FRE0712KL,,603AT0402FRE0712KL,,,,,
R30,1,0R R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Yageo,RC0603JR-070RL,,,311-0.0GRCT-ND,603RC0603JR070RL,1995647P,,9233130,,
R31,1,nf R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,,,,,,,,
L2,1,SRN6045TA-3R3Y,Bourns,SRN6045TA-3R3Y,,,SRN6045TA-3R3YCT-ND,652SRN6045TA3R3Y,,,2616889,,
D1,1,MMBZ5242BLT3G D_SOT-23_ANK,onsemi,MMBZ5242BLT3G,,MMBZ5242BLT3G,MMBZ5242BLT3GOSDKR-ND,863MMBZ5242BLT3G,,,3607004,,
D3,1,LED Green LED_0603_1608Metric,Vishay,VLMTG1401-GS08,,VLMTG1401-GS08,751-VLMTG1401-GS08TR-ND,78VLMTG1401GS08,,,,,
D4,1,LED Red LED_0603_1608Metric,Vishay,VLMS1300-GS08,,VLMS1300-GS08,VLMS1300-GS08DKR-ND,78VLMS1300GS08,7730458P,,2251484,,
D5,1,BAV99 SOT-23,Comchip,BAV99-HF,,BAV99-HF,641-BAV99-HFCT-ND,750BAV99HF,,,,,
"U8, U10",2,74LVC1G07SE-7,Diodes Inc.,74LVC1G07SE-7,Diodes Inc.,74AHC1G126SE-7,74AHC1G126SE-7DIDKR-ND,62174AHC1G126SE7,7512793,,1893811RL,,
U2,1,AP64501SP-13 SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias,Diodes Inc.,AP64501SP-13,,AP64501SP-13,31-AP64501SP-13CT-ND,621AP64501SP13,,,3518317,,
U3,1,FSUSB42MUX MSOP-10_3x3mm_P0.5mm,onsemi,FSUSB42MUX,,FSUSB42MUX,FSUSB42MUXDKR-ND,512FSUSB42MUX,7395144P,,2564479,,
U4,1,USB2514B,Microchip,USB2514B-AEZC-TR,,,USB2514B-AEZC-CT-ND,886USB2514BAEZCTR,1779732,,2775061,,
