"Source:","D:\Users\turbo\Desktop\github\Balthazar\BalthazarCM4IO\CM4IOv5.kicad_sch"
"Date:","10/03/2022 12:21:29"
"Tool:","Eeschema (6.0.2)"
"Generator:","E:\KiCad\6\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","93"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Field4","Field5","Field6","Field7","Field8","Part Description"
"","","C2","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C3","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C4","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C5","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C6","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C7","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C8","27pF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H270JB01-01.pdf","Digikey","490-17672-1-ND","GJM1555C1H270JB01D","Murata","UCAP00738 ","	27pF 5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)"
"","","C9","27pF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H270JB01-01.pdf","Digikey","490-17672-1-ND","GJM1555C1H270JB01D","Murata","UCAP00738 ","	27pF 5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)"
"","","C10","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
